# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-p" "-a" "data/annotation/union_peaks.saf" "-F" "SAF" "-o" "results/featurecounts/SRX16311691_featureCounts.txt" "results/mapping/SRX16311691.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRX16311691.bam
peak_5117	chr11	5505854	5506166	.	313	221
peak_5118	chr11	5512205	5512743	.	539	349
peak_5119	chr11	5520488	5521421	.	934	1154
peak_5120	chr11	5522081	5522334	.	254	378
peak_5121	chr11	5541896	5542530	.	635	1249
peak_5122	chr11	5612303	5612843	.	541	190
peak_5123	chr11	5707417	5708031	.	615	591
peak_5124	chr11	5734926	5735276	.	351	329
peak_5125	chr11	5740557	5741512	.	956	687
peak_5126	chr11	5761899	5762591	.	693	1537
peak_5127	chr11	5779957	5780536	.	580	433
peak_5128	chr11	5788119	5789050	.	932	1008
peak_5129	chr11	5789293	5789573	.	281	376
peak_5130	chr11	5789830	5790286	.	457	416
peak_5131	chr11	5837409	5838251	.	843	1147
peak_5132	chr11	5877977	5878555	.	579	1415
peak_5133	chr11	5892121	5892358	.	238	146
peak_5134	chr11	5912739	5912960	.	222	160
peak_5135	chr11	5945203	5945450	.	248	159
peak_5136	chr11	5949543	5950256	.	714	1139
peak_5137	chr11	5955511	5955906	.	396	619
peak_5138	chr11	5960592	5960921	.	330	228
peak_5139	chr11	5970824	5971078	.	255	99
peak_5140	chr11	5974147	5974357	.	211	101
peak_5141	chr11	5996034	5996280	.	247	244
peak_5142	chr11	6000278	6000992	.	715	508
peak_5143	chr11	6005452	6006329	.	878	108
peak_5144	chr11	6010840	6011413	.	574	7
peak_5145	chr11	6026452	6026654	.	203	78
peak_5146	chr11	6033245	6033455	.	211	127
peak_5147	chr11	6169178	6169642	.	465	495
peak_5148	chr11	6174763	6175006	.	244	69
peak_5149	chr11	6178685	6179121	.	437	461
peak_5150	chr11	6187900	6188116	.	217	165
peak_5151	chr11	6199920	6200569	.	650	580
peak_5152	chr11	6267490	6268054	.	565	791
peak_5153	chr11	6274612	6275299	.	688	851
peak_5154	chr11	6291391	6292709	.	1319	2096
peak_5155	chr11	6299464	6299987	.	524	519
peak_5156	chr11	6365906	6366271	.	366	566
peak_5157	chr11	6388744	6389496	.	753	1695
peak_5158	chr11	6391395	6392074	.	680	752
peak_5159	chr11	6415299	6416806	.	1508	2156
peak_5160	chr11	6444002	6444835	.	834	2905
peak_5161	chr11	6465186	6465448	.	263	179
peak_5162	chr11	6474826	6475036	.	211	126
peak_5163	chr11	6475912	6476476	.	565	714
peak_5164	chr11	6484642	6484881	.	240	133
peak_5165	chr11	6490156	6490437	.	282	441
peak_5166	chr11	6519587	6519992	.	406	243
peak_5167	chr11	6520800	6521118	.	319	590
peak_5168	chr11	6522740	6523280	.	541	1214
peak_5169	chr11	6524616	6524851	.	236	130
peak_5170	chr11	6528379	6529050	.	672	1515
peak_5171	chr11	6546180	6547371	.	1192	1580
peak_5172	chr11	6562358	6562711	.	354	357
peak_5173	chr11	6586715	6587017	.	303	226
peak_5174	chr11	6615472	6615892	.	421	192
peak_5175	chr11	6625725	6626412	.	688	685
peak_5176	chr11	6627847	6628130	.	284	156
peak_5177	chr11	6628651	6628830	.	180	114
peak_5178	chr11	6679777	6680003	.	227	102
peak_5179	chr11	6695205	6695644	.	440	331
peak_5180	chr11	6710461	6710992	.	532	177
peak_5181	chr11	8424318	8424530	.	213	149
peak_5182	chr11	8443487	8443955	.	469	256
peak_5183	chr11	8451327	8451721	.	395	275
peak_5184	chr11	8534896	8535210	.	315	432
peak_5185	chr11	8556905	8557441	.	537	414
peak_5186	chr11	8558148	8558716	.	569	237
peak_5187	chr11	8566343	8566875	.	533	750
peak_5188	chr11	8569765	8570004	.	240	160
peak_5189	chr11	8574591	8574911	.	321	273
peak_5190	chr11	8575289	8575822	.	534	361
peak_5191	chr11	8579759	8580189	.	431	200
peak_5192	chr11	8589459	8590091	.	633	892
peak_5193	chr11	8596822	8597343	.	522	513
peak_5194	chr11	8604779	8605160	.	382	345
peak_5195	chr11	8609865	8610283	.	419	281
peak_5196	chr11	8624622	8624902	.	281	178
peak_5197	chr11	8628621	8629272	.	652	343
peak_5198	chr11	8629797	8630229	.	433	286
peak_5199	chr11	8634425	8635052	.	628	677
peak_5200	chr11	8637016	8637466	.	451	515
peak_5201	chr11	8659751	8660243	.	493	481
peak_5202	chr11	8660816	8661180	.	365	195
peak_5203	chr11	8663577	8664719	.	1143	464
peak_5204	chr11	8688757	8689901	.	1145	878
peak_5205	chr11	8700885	8701163	.	279	184
peak_5206	chr11	8701822	8702148	.	327	268
peak_5207	chr11	8707997	8708170	.	174	68
peak_5208	chr11	8759912	8760194	.	283	191
peak_5209	chr11	8762250	8762557	.	308	228
peak_5210	chr11	8847699	8848344	.	646	354
peak_5211	chr11	9010797	9011329	.	533	425
peak_5212	chr11	9048382	9048829	.	448	375
peak_5213	chr11	9481609	9481813	.	205	109
peak_5214	chr11	9531701	9532026	.	326	358
peak_5215	chr11	11461604	11462415	.	812	993
peak_5216	chr11	11513375	11513736	.	362	287
peak_5217	chr11	11547148	11547406	.	259	160
peak_5218	chr11	11557233	11557439	.	207	99
peak_5219	chr11	11558734	11559000	.	267	335
peak_5220	chr11	11564201	11564759	.	559	253
peak_5221	chr11	11573747	11573996	.	250	199
peak_5222	chr11	11667651	11667885	.	235	228
peak_5223	chr11	11668375	11668637	.	263	113
peak_5224	chr11	11685320	11686453	.	1134	1028
peak_5225	chr11	11689939	11690610	.	672	294
peak_5226	chr11	11691740	11692067	.	328	236
peak_5227	chr11	11716857	11717079	.	223	134
peak_5228	chr11	11730099	11730572	.	474	523
peak_5229	chr11	11763152	11763755	.	604	779
peak_5230	chr11	11788500	11789034	.	535	808
peak_5231	chr11	11808642	11809441	.	800	879
peak_5232	chr11	16507895	16508507	.	613	656
peak_5233	chr11	16637750	16637983	.	234	131
peak_5234	chr11	16669822	16670039	.	218	117
peak_5235	chr11	16932040	16932502	.	463	474
peak_5236	chr11	16950031	16950321	.	291	139
peak_5237	chr11	16951025	16951657	.	633	1680
peak_5238	chr11	16956185	16956400	.	216	134
peak_5239	chr11	16956506	16956975	.	470	698
peak_5240	chr11	16967900	16968168	.	269	248
peak_5241	chr11	16969717	16970125	.	409	261
peak_5242	chr11	16977009	16977391	.	383	192
peak_5243	chr11	16977545	16978041	.	497	191
peak_5244	chr11	16978254	16978628	.	375	239
peak_5245	chr11	16987572	16988381	.	810	628
peak_5246	chr11	16999455	16999891	.	437	185
peak_5247	chr11	17000954	17001332	.	379	316
peak_5248	chr11	17002483	17003338	.	856	825
peak_5249	chr11	17004714	17005329	.	616	1366
peak_5250	chr11	17005446	17005936	.	491	209
peak_5251	chr11	17008330	17009093	.	764	1255
peak_5252	chr11	17013026	17013248	.	223	179
peak_5253	chr11	17051477	17052011	.	535	342
peak_5254	chr11	17154065	17154317	.	253	176
peak_5255	chr11	17158720	17159557	.	838	1277
peak_5256	chr11	17160374	17160571	.	198	161
peak_5257	chr11	17166715	17166954	.	240	142
peak_5258	chr11	17180827	17181062	.	236	95
peak_5259	chr11	17211278	17212297	.	1020	813
peak_5260	chr11	17221244	17221551	.	308	41
peak_5261	chr11	17257452	17257814	.	363	289
peak_5262	chr11	17953380	17954102	.	723	842
peak_5263	chr11	18331689	18332328	.	640	29
peak_5264	chr11	18924964	18925288	.	325	415
peak_5265	chr11	18969903	18970252	.	350	113
peak_5266	chr11	19018825	19019181	.	357	560
peak_5267	chr11	19020365	19020633	.	269	317
peak_5268	chr11	19024564	19024761	.	198	117
peak_5269	chr11	19830725	19830940	.	216	151
peak_5270	chr11	19919786	19920710	.	925	795
peak_5271	chr11	19923916	19924610	.	695	633
peak_5272	chr11	19925061	19926606	.	1546	1358
peak_5273	chr11	19929202	19929448	.	247	257
peak_5274	chr11	19955760	19956008	.	249	164
peak_5275	chr11	19965276	19965629	.	354	433
peak_5276	chr11	19972384	19972867	.	484	534
peak_5277	chr11	19979395	19979723	.	329	209
peak_5278	chr11	19992970	19993261	.	292	217
peak_5279	chr11	19993797	19994025	.	229	129
peak_5280	chr11	20107761	20108004	.	244	164
peak_5281	chr11	20112138	20113538	.	1401	2308
peak_5282	chr11	20132868	20133495	.	628	442
peak_5283	chr11	20159019	20159276	.	258	170
peak_5284	chr11	20169018	20169335	.	318	252
peak_5285	chr11	20193092	20193623	.	532	250
peak_5286	chr11	20200667	20202050	.	1384	3834
peak_5287	chr11	20204390	20204642	.	253	168
peak_5288	chr11	20231060	20231769	.	710	1048
peak_5289	chr11	20231998	20232630	.	633	455
peak_5290	chr11	20248312	20248544	.	233	98
peak_5291	chr11	20248932	20249983	.	1052	1649
peak_5292	chr11	20269964	20270315	.	352	207
peak_5293	chr11	20323185	20323400	.	216	136
peak_5294	chr11	20329774	20330026	.	253	237
peak_5295	chr11	20332598	20333498	.	901	1996
peak_5296	chr11	20400934	20401160	.	227	127
peak_5297	chr11	20403528	20403921	.	394	256
peak_5298	chr11	20446009	20446201	.	193	133
peak_5299	chr11	20455075	20455494	.	420	264
peak_5300	chr11	20464654	20464916	.	263	147
peak_5301	chr11	20466041	20466397	.	357	181
peak_5302	chr11	20468694	20469010	.	317	378
peak_5303	chr11	20477560	20477853	.	294	147
peak_5304	chr11	20500627	20500984	.	358	343
peak_5305	chr11	20531808	20532861	.	1054	671
peak_5306	chr11	20542494	20543582	.	1089	3439
peak_5307	chr11	20631261	20632947	.	1687	3241
peak_5308	chr11	20655805	20656287	.	483	233
peak_5309	chr11	20656833	20657118	.	286	149
peak_5310	chr11	20691098	20691317	.	220	124
peak_5311	chr11	20729448	20729698	.	251	110
peak_5312	chr11	20733576	20733783	.	208	80
peak_5313	chr11	20741174	20742191	.	1018	1714
peak_5314	chr11	20742347	20742635	.	289	242
peak_5315	chr11	20762048	20762498	.	451	358
peak_5316	chr11	20794247	20794532	.	286	352
peak_5317	chr11	20794664	20794879	.	216	144
peak_5318	chr11	20830697	20831397	.	701	255
peak_5319	chr11	20847594	20847894	.	301	154
peak_5320	chr11	20913988	20914463	.	476	353
peak_5321	chr11	20914967	20915614	.	648	335
peak_5322	chr11	20917657	20917868	.	212	108
peak_5323	chr11	20930676	20930920	.	245	140
peak_5324	chr11	21009600	21009862	.	263	204
peak_5325	chr11	21024578	21024842	.	265	292
peak_5326	chr11	21031830	21032142	.	313	394
peak_5327	chr11	21033855	21034525	.	671	612
peak_5328	chr11	21046246	21046691	.	446	524
peak_5329	chr11	21082743	21083082	.	340	473
peak_5330	chr11	21090840	21091951	.	1112	2976
peak_5331	chr11	21223546	21223896	.	351	258
peak_5332	chr11	21225016	21225422	.	407	380
peak_5333	chr11	21238551	21239016	.	466	201
peak_5334	chr11	21265536	21265716	.	181	113
peak_5335	chr11	21370467	21371477	.	1011	1153
peak_5336	chr11	21424439	21424664	.	226	109
peak_5337	chr11	21425598	21426072	.	475	153
peak_5338	chr11	21540124	21540406	.	283	187
peak_5339	chr11	21569114	21569481	.	368	146
peak_5340	chr11	21571556	21572518	.	963	2807
peak_5341	chr11	22008135	22008376	.	242	194
peak_5342	chr11	22286869	22287634	.	766	1773
peak_5343	chr11	22437553	22437858	.	306	796
peak_5344	chr11	22512213	22512952	.	740	707
peak_5345	chr11	22617644	22617876	.	233	123
peak_5346	chr11	22665962	22666416	.	455	496
peak_5347	chr11	22677457	22677695	.	239	178
peak_5348	chr11	22710789	22710999	.	211	186
peak_5349	chr11	22780299	22780535	.	237	159
peak_5350	chr11	22813691	22814672	.	982	540
peak_5351	chr11	22835297	22835619	.	323	187
peak_5352	chr11	22842306	22842796	.	491	332
peak_5353	chr11	22850168	22850438	.	271	161
peak_5354	chr11	22857216	22857414	.	199	118
peak_5355	chr11	22858030	22858431	.	402	378
peak_5356	chr11	22858972	22859154	.	183	101
peak_5357	chr11	22859370	22860736	.	1367	1514
peak_5358	chr11	22871767	22872301	.	535	329
peak_5359	chr11	22928730	22929182	.	453	277
peak_5360	chr11	22930135	22930403	.	269	214
peak_5361	chr11	22956980	22957180	.	201	97
peak_5362	chr11	22969588	22969783	.	196	93
peak_5363	chr11	22971859	22972096	.	238	135
peak_5364	chr11	22972831	22973231	.	401	169
peak_5365	chr11	22981957	22982499	.	543	716
peak_5366	chr11	22990322	22991117	.	796	1324
peak_5367	chr11	23007464	23008109	.	646	811
peak_5368	chr11	23008250	23008701	.	452	276
peak_5369	chr11	23067610	23068155	.	546	508
peak_5370	chr11	23124334	23124706	.	373	259
peak_5371	chr11	23255200	23256224	.	1025	3780
peak_5372	chr11	23256889	23257715	.	827	789
peak_5373	chr11	23305694	23307001	.	1308	1822
peak_5374	chr11	23497464	23498463	.	1000	2514
peak_5375	chr11	23565891	23566073	.	183	86
peak_5376	chr11	23633259	23633937	.	679	1467
peak_5377	chr11	23657849	23658077	.	229	119
peak_5378	chr11	23665404	23666624	.	1221	951
peak_5379	chr11	23679288	23679538	.	251	217
peak_5380	chr11	23695956	23696175	.	220	128
peak_5381	chr11	23762618	23762994	.	377	232
peak_5382	chr11	23769702	23769996	.	295	265
peak_5383	chr11	23770130	23770457	.	328	226
peak_5384	chr11	23770572	23771726	.	1155	2027
peak_5385	chr11	23805616	23806141	.	526	488
peak_5386	chr11	23821018	23821231	.	214	132
peak_5387	chr11	23821743	23821992	.	250	198
peak_5388	chr11	23823213	23823665	.	453	613
peak_5389	chr11	23830323	23830675	.	353	231
peak_5390	chr11	23845981	23846770	.	790	596
peak_5391	chr11	23855461	23855703	.	243	166
peak_5392	chr11	23894938	23895436	.	499	600
peak_5393	chr11	23979432	23979631	.	200	117
peak_5394	chr11	23987660	23988298	.	639	263
peak_5395	chr11	24076040	24076459	.	420	183
peak_5396	chr11	24077874	24078099	.	226	134
peak_5397	chr11	24081005	24081447	.	443	200
peak_5398	chr11	24137466	24137735	.	270	111
peak_5399	chr11	24142061	24142622	.	562	375
peak_5400	chr11	24184964	24185457	.	494	688
peak_5401	chr11	24200348	24200647	.	300	128
peak_5402	chr11	24242975	24243319	.	345	190
peak_5403	chr11	25848928	25849122	.	195	118
peak_5404	chr11	26201035	26201230	.	196	114
peak_5405	chr11	26209989	26210570	.	582	442
peak_5406	chr11	26387069	26387615	.	547	747
peak_5407	chr11	26452739	26452963	.	225	127
peak_5408	chr11	26586473	26586912	.	440	172
peak_5409	chr11	26593128	26594073	.	946	1078
peak_5410	chr11	26600641	26600993	.	353	226
peak_5411	chr11	26601613	26602165	.	553	552
peak_5412	chr11	26604322	26604593	.	272	262
peak_5413	chr11	26639544	26639925	.	382	319
peak_5414	chr11	26640254	26640850	.	597	1114
peak_5415	chr11	28439961	28440184	.	224	101
peak_5416	chr11	29130417	29130860	.	444	538
peak_5417	chr11	29172136	29173179	.	1044	1027
peak_5418	chr11	29173425	29173675	.	251	253
peak_5419	chr11	29247007	29247623	.	617	1693
peak_5420	chr11	29308190	29308477	.	288	104
peak_5421	chr11	29373169	29374437	.	1269	1541
peak_5422	chr11	29497032	29497463	.	432	284
peak_5423	chr11	29514922	29515368	.	447	646
peak_5424	chr11	29526130	29526531	.	402	180
peak_5425	chr11	29547595	29548446	.	852	1137
peak_5426	chr11	29549469	29549757	.	289	385
peak_5427	chr11	29647654	29648094	.	441	250
peak_5428	chr11	29653880	29654215	.	336	309
peak_5429	chr11	29692578	29693282	.	705	2289
peak_5430	chr11	29693543	29694416	.	874	949
peak_5431	chr11	29705260	29705600	.	341	216
peak_5432	chr11	29727981	29728394	.	414	320
peak_5433	chr11	29786692	29787182	.	491	221
peak_5434	chr11	29808571	29808984	.	414	566
peak_5435	chr11	29864354	29864584	.	231	151
peak_5436	chr11	29874801	29875158	.	358	411
peak_5437	chr11	29885265	29885525	.	261	249
peak_5438	chr11	30025668	30026618	.	951	1862
peak_5439	chr11	30649050	30649577	.	528	511
peak_5440	chr11	30676179	30676387	.	209	120
peak_5441	chr11	30771333	30772014	.	682	770
peak_5442	chr11	30772176	30772595	.	420	186
peak_5443	chr11	30900438	30900662	.	225	144
peak_5444	chr11	30953898	30954699	.	802	514
peak_5445	chr11	30985923	30986603	.	681	640
peak_5446	chr11	31612669	31613005	.	337	167
peak_5447	chr11	31671638	31672117	.	480	1016
peak_5448	chr11	31713231	31713505	.	275	153
peak_5449	chr11	31713602	31713989	.	388	132
peak_5450	chr11	31716869	31717213	.	345	246
peak_5451	chr11	31718078	31718545	.	468	305
peak_5452	chr11	31732821	31733379	.	559	396
peak_5453	chr11	31736078	31736458	.	381	551
peak_5454	chr11	31796246	31796576	.	331	414
peak_5455	chr11	31807912	31808449	.	538	270
peak_5456	chr11	31812036	31812569	.	534	455
peak_5457	chr11	31870298	31871022	.	725	2043
peak_5458	chr11	31871184	31871643	.	460	256
peak_5459	chr11	32205049	32205673	.	625	1326
peak_5460	chr11	32216959	32217195	.	237	149
peak_5461	chr11	32221072	32222130	.	1059	487
peak_5462	chr11	32224888	32225083	.	196	112
peak_5463	chr11	32226333	32226834	.	502	607
peak_5464	chr11	32230864	32231407	.	544	191
peak_5465	chr11	32238115	32238378	.	264	217
peak_5466	chr11	32238523	32238745	.	223	256
peak_5467	chr11	32267331	32267807	.	477	450
peak_5468	chr11	32300641	32300895	.	255	180
peak_5469	chr11	32324544	32324948	.	405	351
peak_5470	chr11	32331018	32331467	.	450	331
peak_5471	chr11	32341203	32341384	.	182	122
peak_5472	chr11	32342859	32343165	.	307	122
peak_5473	chr11	32347676	32347900	.	225	145
peak_5474	chr11	32349645	32350002	.	358	336
peak_5475	chr11	32358457	32358749	.	293	132
peak_5476	chr11	32450239	32450451	.	213	126
peak_5477	chr11	32454759	32456022	.	1264	1298
peak_5478	chr11	32489411	32489701	.	291	266
peak_5479	chr11	32532698	32533429	.	732	1258
peak_5480	chr11	32533962	32534292	.	331	195
peak_5481	chr11	32538587	32539094	.	508	164
peak_5482	chr11	32542682	32543327	.	646	838
peak_5483	chr11	32563519	32563923	.	405	297
peak_5484	chr11	32565033	32565773	.	741	1602
peak_5485	chr11	32568164	32568401	.	238	174
peak_5486	chr11	32571115	32571392	.	278	137
peak_5487	chr11	32580498	32580899	.	402	519
peak_5488	chr11	32607365	32607666	.	302	144
peak_5489	chr11	32615584	32615879	.	296	245
peak_5490	chr11	32619158	32619824	.	667	1017
peak_5491	chr11	32619961	32620315	.	355	456
peak_5492	chr11	32622450	32622732	.	283	161
peak_5493	chr11	32625777	32625951	.	175	87
peak_5494	chr11	32642119	32643186	.	1068	1282
peak_5495	chr11	32644058	32644418	.	361	357
peak_5496	chr11	32650438	32650678	.	241	137
peak_5497	chr11	32671390	32671805	.	416	265
peak_5498	chr11	32682280	32682687	.	408	204
peak_5499	chr11	32684048	32684256	.	209	126
peak_5500	chr11	33084155	33084425	.	271	152
peak_5501	chr11	33148437	33148677	.	241	194
peak_5502	chr11	33162267	33162492	.	226	150
peak_5503	chr11	33162781	33163501	.	721	1312
peak_5504	chr11	33170584	33170790	.	207	125
peak_5505	chr11	33623309	33623903	.	595	86
peak_5506	chr11	33754815	33755088	.	274	16
peak_5507	chr11	33931885	33932246	.	362	271
peak_5508	chr11	34008312	34008594	.	283	232
peak_5509	chr11	34008752	34009093	.	342	130
peak_5510	chr11	34010687	34011221	.	535	1009
peak_5511	chr11	34012070	34012354	.	285	140
peak_5512	chr11	34031110	34031839	.	730	1139
peak_5513	chr11	34033930	34034541	.	612	475
peak_5514	chr11	34046817	34047671	.	855	579
peak_5515	chr11	34054238	34054686	.	449	285
peak_5516	chr11	34063631	34064495	.	865	648
peak_5517	chr11	34072274	34072783	.	510	738
peak_5518	chr11	34074472	34074973	.	502	333
peak_5519	chr11	34220654	34220878	.	225	150
peak_5520	chr11	34389354	34390008	.	655	855
peak_5521	chr11	34769500	34769721	.	222	89
peak_5522	chr11	34770476	34770957	.	482	159
peak_5523	chr11	34771209	34771992	.	784	618
peak_5524	chr11	34773381	34773953	.	573	558
peak_5525	chr11	34776059	34776344	.	286	212
peak_5526	chr11	34778181	34778656	.	476	877
peak_5527	chr11	34782843	34784196	.	1354	1098
peak_5528	chr11	34833519	34834032	.	514	431
peak_5529	chr11	35297451	35297675	.	225	145
peak_5530	chr11	35769158	35770271	.	1114	2672
peak_5531	chr11	35834359	35834724	.	366	600
peak_5532	chr11	35838404	35838697	.	294	391
peak_5533	chr11	35841926	35842302	.	377	273
peak_5534	chr11	40135075	40135423	.	349	155
peak_5535	chr11	40692367	40692851	.	485	717
peak_5536	chr11	40733362	40734089	.	728	1026
peak_5537	chr11	40754986	40755706	.	721	1383
peak_5538	chr11	40763515	40763695	.	181	92
peak_5539	chr11	40855871	40856075	.	205	157
peak_5540	chr11	41632573	41632768	.	196	138
peak_5541	chr11	43351852	43352165	.	314	322
peak_5542	chr11	43353744	43353973	.	230	135
peak_5543	chr11	43361929	43362206	.	278	262
peak_5544	chr11	43368422	43368914	.	493	455
peak_5545	chr11	43383639	43383970	.	332	159
peak_5546	chr11	43385030	43385941	.	912	2142
peak_5547	chr11	43388038	43388516	.	479	192
peak_5548	chr11	43395239	43395762	.	524	265
peak_5549	chr11	43399431	43399685	.	255	216
peak_5550	chr11	43410371	43410621	.	251	125
peak_5551	chr11	43411397	43411797	.	401	915
peak_5552	chr11	43425998	43426630	.	633	523
peak_5553	chr11	43433631	43434043	.	413	169
peak_5554	chr11	43613179	43613407	.	229	172
peak_5555	chr11	43614095	43614318	.	224	126
peak_5556	chr11	43626082	43626501	.	420	175
peak_5557	chr11	43632425	43633156	.	732	631
peak_5558	chr11	43643154	43643548	.	395	176
peak_5559	chr11	43653760	43654046	.	287	277
peak_5560	chr11	43656289	43656948	.	660	569
peak_5561	chr11	43681385	43682781	.	1397	2955
peak_5562	chr11	43715382	43715663	.	282	195
peak_5563	chr11	43747724	43748208	.	485	927
peak_5564	chr11	43766907	43767431	.	525	327
peak_5565	chr11	44377970	44378324	.	355	248
peak_5566	chr11	44380772	44381047	.	276	174
peak_5567	chr11	44382034	44382691	.	658	1045
peak_5568	chr11	44390001	44390609	.	609	337
peak_5569	chr11	44398862	44399270	.	409	432
peak_5570	chr11	44470210	44471312	.	1103	1114
peak_5571	chr11	44518641	44519047	.	407	365
peak_5572	chr11	44519826	44520781	.	956	804
peak_5573	chr11	44529320	44529649	.	330	453
peak_5574	chr11	44538890	44539440	.	551	351
peak_5575	chr11	44540288	44540703	.	416	443
peak_5576	chr11	44545266	44545560	.	295	171
peak_5577	chr11	44546222	44546544	.	323	226
peak_5578	chr11	44581270	44581682	.	413	224
peak_5579	chr11	44610970	44611152	.	183	130
peak_5580	chr11	45538391	45538630	.	240	111
peak_5581	chr11	45539521	45539784	.	264	242
peak_5582	chr11	45545809	45546622	.	814	605
peak_5583	chr11	45595277	45595739	.	463	798
peak_5584	chr11	45697441	45697724	.	284	189
peak_5585	chr11	45752307	45752499	.	193	110
peak_5586	chr11	45795691	45795974	.	284	255
peak_5587	chr11	45806838	45807081	.	244	138
peak_5588	chr11	45807887	45808301	.	415	484
peak_5589	chr11	45809176	45809369	.	194	117
peak_5590	chr11	45831521	45832048	.	528	282
peak_5591	chr11	45851668	45852119	.	452	462
peak_5592	chr11	45852577	45852813	.	237	173
peak_5593	chr11	45926642	45927097	.	456	438
peak_5594	chr11	45944649	45945198	.	550	831
peak_5595	chr11	45955001	45955653	.	653	1167
peak_5596	chr11	46061865	46062174	.	310	129
peak_5597	chr11	46063126	46063611	.	486	176
peak_5598	chr11	46076550	46076794	.	245	90
peak_5599	chr11	46120149	46120499	.	351	153
peak_5600	chr11	46215453	46215651	.	199	109
peak_5601	chr11	46265455	46265704	.	250	105
peak_5602	chr11	46431281	46431488	.	208	163
peak_5603	chr11	46436751	46437625	.	875	718
peak_5604	chr11	46447649	46447826	.	178	124
peak_5605	chr11	46449831	46450170	.	340	138
peak_5606	chr11	46454601	46455081	.	481	570
peak_5607	chr11	46457786	46458044	.	259	230
peak_5608	chr11	46461428	46461766	.	339	460
peak_5609	chr11	46461948	46462290	.	343	218
peak_5610	chr11	46480319	46480907	.	589	567
peak_5611	chr11	46488287	46488530	.	244	165
peak_5612	chr11	48776664	48776926	.	263	91
peak_5613	chr11	48787697	48788164	.	468	986
peak_5614	chr11	48788644	48788953	.	310	138
peak_5615	chr11	48790313	48790508	.	196	177
peak_5616	chr11	48799689	48800715	.	1027	885
peak_5617	chr11	48808866	48809180	.	315	230
peak_5618	chr11	48816183	48816723	.	541	209
peak_5619	chr11	48816867	48817698	.	832	2335
peak_5620	chr11	48818341	48818691	.	351	308
peak_5621	chr11	48826375	48826755	.	381	50
peak_5622	chr11	48833791	48834019	.	229	150
peak_5623	chr11	48834176	48834637	.	462	493
peak_5624	chr11	48837353	48837843	.	491	266
peak_5625	chr11	48838249	48838772	.	524	565
peak_5626	chr11	48853341	48854167	.	827	896
peak_5627	chr11	48855965	48857189	.	1225	973
peak_5628	chr11	48858005	48858291	.	287	173
peak_5629	chr11	48859101	48859331	.	231	142
peak_5630	chr11	48871323	48871695	.	373	208
peak_5631	chr11	48872111	48872831	.	721	548
peak_5632	chr11	48874544	48874799	.	256	200
peak_5633	chr11	48900712	48901617	.	906	468
peak_5634	chr11	48902039	48902343	.	305	203
peak_5635	chr11	48913718	48913897	.	180	91
peak_5636	chr11	48923701	48924111	.	411	99
peak_5637	chr11	48977977	48978871	.	895	14
peak_5638	chr11	48979276	48979657	.	382	4
peak_5639	chr11	48980110	48980324	.	215	0
peak_5640	chr11	48988093	48988504	.	412	23
peak_5641	chr11	49049815	49050717	.	903	14
peak_5642	chr11	49051152	49051818	.	667	67
peak_5643	chr11	49051982	49052175	.	194	7
peak_5644	chr11	49059965	49060386	.	422	74
peak_5645	chr11	49092834	49093019	.	186	93
peak_5646	chr11	49101602	49101807	.	206	97
peak_5647	chr11	49202552	49202934	.	383	227
peak_5648	chr11	49203131	49203804	.	674	868
peak_5649	chr11	49203932	49204367	.	436	281
peak_5650	chr11	49235855	49236213	.	359	288
peak_5651	chr11	49237618	49238001	.	384	485
peak_5652	chr11	49243320	49244661	.	1342	2813
peak_5653	chr11	49248678	49249158	.	481	207
peak_5654	chr11	49249844	49251034	.	1191	1239
peak_5655	chr11	49712597	49713166	.	570	1096
peak_5656	chr11	49846340	49847200	.	861	2303
peak_5657	chr11	49848597	49848815	.	219	154
peak_5658	chr11	49901689	49901886	.	198	149
peak_5659	chr11	49930886	49931332	.	447	170
peak_5660	chr11	49986744	49986948	.	205	240
peak_5661	chr11	49994533	49994769	.	237	75
peak_5662	chr11	49997292	49997526	.	235	140
peak_5663	chr11	50018856	50019070	.	215	126
peak_5664	chr11	50024447	50024643	.	197	113
peak_5665	chr11	50024809	50025616	.	808	967
peak_5666	chr11	50026778	50027096	.	319	175
peak_5667	chr11	50038608	50039135	.	528	329
peak_5668	chr11	50073882	50074225	.	344	161
peak_5669	chr11	50108853	50109306	.	454	298
peak_5670	chr11	50114440	50114649	.	210	169
peak_5671	chr11	50130763	50131746	.	984	999
peak_5672	chr11	50134134	50134731	.	598	382
peak_5673	chr11	50149693	50150000	.	308	147
peak_5674	chr11	50154232	50154550	.	319	505
peak_5675	chr11	50154738	50155248	.	511	355
peak_5676	chr11	50161667	50161862	.	196	133
peak_5677	chr11	50162369	50162672	.	304	103
peak_5678	chr11	50174427	50175135	.	709	1158
peak_5679	chr11	50209987	50211191	.	1205	1941
peak_5680	chr11	50212011	50212265	.	255	142
peak_5681	chr11	50212842	50213727	.	886	1078
peak_5682	chr11	50224096	50225469	.	1374	991
peak_5683	chr11	50227078	50227513	.	436	249
peak_5684	chr11	50228720	50229112	.	393	190
peak_5685	chr11	50229256	50229497	.	242	257
peak_5686	chr11	50236400	50237160	.	761	1880
peak_5687	chr11	50237991	50239705	.	1715	1032
peak_5688	chr11	50240163	50240796	.	634	376
